x,y,weight
Michi,Mai,1
Meng,Sokka,1
Meng,Katara,1
Malu,Sokka,1
Male Fire Nation soldier,Female Fire Nation soldier,1
Mai,Suki,1
Mai,Katara,1
Longshot,Katara,1
Smellerbee,Toph,1
Smellerbee,Sokka,1
Smellerbee,Katara,1
Blue dragon,Zuko,1
Blue dragon,Red dragon,1
Long Feng,Jet,1
Long Feng,Dai Li agent,1
Lo,Ty Lee,1
Lin Yee,Chey,1
Lily,Sokka,1
Li,Zhao,1
Li,Mai,1
Lee,Gansu,1
Azula,Ukano,1
Azula,Suki,1
Azula,Ruon-Jian,1
Azula,Qin,1
Azula,Kuei,1
Azula,King Bumi,1
Azula,Katara,1
Sokka,Azula,1
Chit Sang,Suki,1
Chan,Ruon-Jian,1
Lao,Xin Fu,1
Lao,Katara,1
Lao,Aang,1
Kyoshi,Aang,1
Sokka,Lin Yee,1
Sokka,Lao,1
Sokka,Kanna,1
Sokka,Gan Jin tribesman,1
Sokka,Fong,1
Sokka,Due,1
Sokka,Dock,1
Sokka,Dai Li agent,1
Long Feng,Toph,1
Appa,Toph,1
Appa,Momo,1
Appa,Aang,1
Actress Yue,Actor Sokka,1
Sokka,Tong,1
Sokka,Tho,1
Sokka,Than,1
Sokka,Ping,1
Sokka,Oh,1
Sokka,Moku,1
Sokka,Meng,1
Sokka,Man with Red Shoes,1
Dai Li agent,Long Feng,1
Dai Li agent,How,1
Chong,Lily,1
Kuei,Azula,1
Fire Navy officer,Hakoda,1
Fire Navy officer,Bato,1
Fire Nation man,Aang,1
Female Fire Nation soldier,Male Fire Nation soldier,1
Earthbender captain,Zuko,1
Earth Kingdom soldier,Zuko,1
Earth Kingdom soldier,Gow,1
Due,Sokka,1
Due,Katara,1
Dock,Toph,1
Sokka,Tyro,1
Arnook,Yue,1
Arnook,Hahn,1
Kay-fon,Aang,1
Katara,Zhang leader,1
Katara,Zei,1
Katara,Yung,1
Katara,Ying,1
Suki,Iroh,1
Suki,Chit Sang,1
Suki,Azula,1
Suki,Actress Yue,1
Suki,Aang,1
Storyteller,Sokka,1
Southern Water Tribe girl,Sokka,1
Song's mother,Iroh,1
Song,Song's mother,1
Song,Iroh,1
Kuei,General How,1
Gan Jin man,Aang,1
Gan Jin Leader,Canyon guide,1
Fung,Zuko,1
Fung,Xin Fu,1
Than,Sokka,1
Than,Katara,1
Than,Aang,1
Teo,The Duke,1
Ta Min,Sozin,1
Sun Warrior chief,Ham Ghao,1
Suki,Ty Lee,1
Suki,Piandao,1
Suki,Mai,1
Koko,Aang,1
King Bumi,Azula,1
Kay-fon,Senlin Village leader,1
The Duke,Pipsqueak,1
The Boulder,Xin Fu,1
The Boulder,Hakoda,1
Than,Ying,1
Actress Katara,Toph,1
Actress Katara,Actor Sokka,1
Actress Azula,Actress Aang,1
Actress Aang,Toph,1
Actress Aang,Actor Ozai,1
Actor Toph,Toph,1
Katara,Than,1
General How,Sokka,1
General How,Katara,1
Gansu,Zuko,1
Gansu,Earth Kingdom soldier,1
Gan Jin tribesman,Canyon guide,1
Katara,Oh,1
Katara,Moku,1
Katara,Malu,1
Katara,Lao,1
Katara,Koko,1
Katara,Joo Dee replacement,1
Katara,Jeong Jeong,1
Toph,Actor Toph,1
Tong,Sokka,1
Ticket lady,Sokka,1
Ticket lady,Cabbage merchant,1
Tho,Hakoda,1
The Hippo,The Boulder,1
The Duke,Toph,1
The Duke,Teo,1
The Duke,Sokka,1
Katara,Headmaster,1
Katara,General Sung,1
Katara,Chit Sang,1
Katara,Chey,1
Katara,Azula,1
Actor Sokka,Actor Zuko,1
Actor Ozai,Actress Aang,1
Actor Jet,Actress Aang,1
Actor Iroh,Actress Azula,1
Actor Iroh,Actor Zuko,1
Aang,Xin Fu,1
Toph,Ghashiun,1
Toph,Dock,1
Katara,Sha-Mo,1
Katara,Pong,1
Katara,Pirate captain,1
June,Katara,1
June,Herbalist,1
Joo Dee,Toph,1
Jin,Iroh,1
Great Fire Sage,Zuko,1
Ty Lee,Qin,1
Ty Lee,Kuei,1
Ty Lee,Chan,1
Ty Lee,Aang,1
Toph,Xin Fu,1
Toph,Toph,1
Toph,Pong,1
Toph,Pakku,1
Toph,Ozai,1
Actor Sokka,Actress Aang,1
Katara,Huu,1
Ghashiun,Toph,1
Ghashiun,Aang,1
General Sung,Sokka,1
Jet,Dai Li agent,1
Jeong Jeong,Sokka,1
Aang,The Duke,1
Aang,Than,1
Aang,Tashi,1
Aang,Southern Water Tribe girl,1
Unnamed Fire Nation boy,Fire Nation man,1
Tyro,Sokka,1
Tyro,Bato,1
Ty Lee,Suki,1
Kanna,Aang,1
June,Toph,1
June,Sokka,1
Iroh,Mongke,1
Iroh,Lieutenant Jee,1
Ying,Katara,1
Ying,Iroh,1
Xu,Katara,1
Xin Fu,The Boulder,1
Xin Fu,Sokka,1
Xin Fu,Katara,1
Wu,Poi,1
Wu,Ping,1
Warden Poon,Zuko,1
Warden Poon,Ming,1
Great Fire Sage,Sokka,1
Great Fire Sage,Aang,1
Gow,Gansu,1
Gow,Earth Kingdom soldier,1
Hakoda,Due,1
Gyatso,Roku,1
Iroh,Iroh,1
Iroh,Broadsword man,1
Aang,Sensitive ruffian,1
Aang,Scary prisoner,1
Aang,Pong,1
Aang,Pipsqueak,1
Young Zuko,Bujing,1
Yon Rha,Zuko,1
Jeong Jeong,Jeong Jeong,1
Jeong Jeong,Bumi,1
Iroh,Suki,1
Iroh,Song's mother,1
Iroh,Smellerbee,1
Iroh,Pakku,1
Zuko,Broadsword man,1
Aang,Fire Nation man,1
Aang,Hama,1
Zhao,Shyu,1
Zhao,Pirate captain,1
Zhao,Li,1
Zhao,Katara,1
Zhang leader,Canyon guide,1
Zei,Wan Shi Tong,1
Aang,Momo,1
Iroh,Aunt Wu,1
Huu,Bato,1
Hide,On Ji,1
Hide,Headmaster,1
Herbalist,Zuko,1
Headmaster,Sokka,1
Piandao,Zuko,1
Piandao,Toph,1
Piandao,Katara,1
Piandao,Bumi,1
Pasang,Tashi,1
Pakku,Jeong Jeong,1
Pakku,Bumi,1
Pakku,Arnook,1
Ozai,Suki,1
Ozai,Sokka,1
Ozai,Azulon,1
Zuko,Jee,1
Zuko,Herbalist,1
Zuko,Gansu,1
Zuko,Chan,1
Zuko,Bumi,1
