x,y,sentiment
Sokka,Katara,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.4765}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.5255}"
Kanna,Katara,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.9554}"
Sokka,Sokka,"{'neg': 0.083, 'neu': 0.526, 'pos': 0.391, 'compound': 0.8016}"
Kanna,Aang,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.25}"
Katara,Appa,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4199}"
Zuko,Aang,"{'neg': 0.062, 'neu': 0.813, 'pos': 0.125, 'compound': 0.5106}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.7717}"
Katara,Appa,"{'neg': 0.052, 'neu': 0.78, 'pos': 0.168, 'compound': 0.6081}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4926}"
Sokka,Katara,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.658}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5562}"
Katara,Aang,"{'neg': 0.671, 'neu': 0.329, 'pos': 0.0, 'compound': -0.6229}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.337, 'neu': 0.406, 'pos': 0.257, 'compound': -0.1511}"
Aang,Katara,"{'neg': 0.239, 'neu': 0.513, 'pos': 0.248, 'compound': 0.0258}"
Sokka,Katara,"{'neg': 0.677, 'neu': 0.323, 'pos': 0.0, 'compound': -0.2714}"
Katara,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Iroh,Appa,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.3527}"
Iroh,Ozai,"{'neg': 0.287, 'neu': 0.385, 'pos': 0.329, 'compound': 0.296}"
Zuko,Iroh,"{'neg': 0.163, 'neu': 0.804, 'pos': 0.033, 'compound': -0.8128}"
Katara,Aang,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.8145}"
Aang,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.6597}"
Aang,Aang,"{'neg': 0.031, 'neu': 0.926, 'pos': 0.043, 'compound': 0.1531}"
Aang,Sokka,"{'neg': 0.036, 'neu': 0.899, 'pos': 0.065, 'compound': 0.6233}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.8433}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.1779}"
Aang,Sokka,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.5696}"
Aang,Sokka,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.6458}"
Sokka,Sokka,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.7067}"
Zuko,Iroh,"{'neg': 0.025, 'neu': 0.889, 'pos': 0.086, 'compound': 0.4687}"
Zhao,Zuko,"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.5719}"
Zuko,Zhao,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}"
Zhao,Iroh,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8271}"
Zuko,Iroh,"{'neg': 0.072, 'neu': 0.865, 'pos': 0.063, 'compound': -0.1007}"
Iroh,Zuko,"{'neg': 0.082, 'neu': 0.657, 'pos': 0.261, 'compound': 0.8968}"
Zuko,Iroh,"{'neg': 0.165, 'neu': 0.671, 'pos': 0.165, 'compound': 0.0}"
Iroh,Zuko,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.936}"
Katara,Aang,"{'neg': 0.128, 'neu': 0.802, 'pos': 0.07, 'compound': -0.2732}"
Katara,Katara,"{'neg': 0.216, 'neu': 0.667, 'pos': 0.118, 'compound': -0.7506}"
Aang,Katara,"{'neg': 0.097, 'neu': 0.772, 'pos': 0.131, 'compound': 0.4003}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.5983}"
Zhao,Zuko,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.8728}"
Zhao,Aang,"{'neg': 0.092, 'neu': 0.908, 'pos': 0.0, 'compound': -0.3657}"
Zhao,Aang,"{'neg': 0.149, 'neu': 0.804, 'pos': 0.046, 'compound': -0.7757}"
Zuko,Zhao,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.4576}"
Zhao,Aang,"{'neg': 0.148, 'neu': 0.74, 'pos': 0.111, 'compound': -0.3237}"
Zuko,Aang,"{'neg': 0.108, 'neu': 0.846, 'pos': 0.046, 'compound': -0.4549}"
Zhao,Zuko,"{'neg': 0.181, 'neu': 0.744, 'pos': 0.074, 'compound': -0.6486}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.7845}"
Aang,Aang,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.9287}"
Sokka,Aang,"{'neg': 0.216, 'neu': 0.551, 'pos': 0.233, 'compound': 0.1027}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.555}"
Sokka,Katara,"{'neg': 0.141, 'neu': 0.837, 'pos': 0.023, 'compound': -0.8793}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Katara,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.0762}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.6688}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.6696}"
Aang,Aang,"{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.6369}"
Gyatso,Aang,"{'neg': 0.047, 'neu': 0.953, 'pos': 0.0, 'compound': -0.2732}"
Gyatso,Aang,"{'neg': 0.065, 'neu': 0.73, 'pos': 0.205, 'compound': 0.9325}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.3612}"
Katara,Aang,"{'neg': 0.153, 'neu': 0.603, 'pos': 0.244, 'compound': 0.3919}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.8268}"
Sokka,Aang,"{'neg': 0.038, 'neu': 0.784, 'pos': 0.178, 'compound': 0.8221}"
Aang,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Aang,"{'neg': 0.057, 'neu': 0.846, 'pos': 0.097, 'compound': 0.3527}"
Zhao,Iroh,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.6801}"
Zhao,Zuko,"{'neg': 0.108, 'neu': 0.798, 'pos': 0.094, 'compound': -0.0772}"
Zuko,Aang,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.34}"
Zhao,Aang,"{'neg': 0.238, 'neu': 0.726, 'pos': 0.036, 'compound': -0.8398}"
Aang,Aang,"{'neg': 0.03, 'neu': 0.874, 'pos': 0.095, 'compound': 0.4958}"
Katara,Katara,"{'neg': 0.043, 'neu': 0.906, 'pos': 0.051, 'compound': 0.1027}"
Aang,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Katara,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4871}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.4215}"
Aang,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Momo,"{'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5562}"
Sokka,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Sokka,"{'neg': 0.12, 'neu': 0.817, 'pos': 0.062, 'compound': -0.3595}"
Zhao,Zuko,"{'neg': 0.073, 'neu': 0.801, 'pos': 0.126, 'compound': 0.5574}"
Zuko,Aang,"{'neg': 0.305, 'neu': 0.601, 'pos': 0.095, 'compound': -0.6365}"
Iroh,Zuko,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}"
Zhao,Zuko,"{'neg': 0.182, 'neu': 0.695, 'pos': 0.124, 'compound': -0.3257}"
Zuko,Aang,"{'neg': 0.164, 'neu': 0.585, 'pos': 0.25, 'compound': 0.4738}"
Zhao,Aang,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.9253}"
Zuko,Zuko,"{'neg': 0.526, 'neu': 0.474, 'pos': 0.0, 'compound': -0.5318}"
Zhao,Iroh,"{'neg': 0.206, 'neu': 0.719, 'pos': 0.075, 'compound': -0.6378}"
Iroh,Zuko,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.4767}"
Aang,Aang,"{'neg': 0.099, 'neu': 0.766, 'pos': 0.135, 'compound': 0.4043}"
Aang,Gyatso,"{'neg': 0.8, 'neu': 0.2, 'pos': 0.0, 'compound': -0.6124}"
Sokka,Aang,"{'neg': 0.015, 'neu': 0.867, 'pos': 0.118, 'compound': 0.8674}"
Katara,Aang,"{'neg': 0.714, 'neu': 0.286, 'pos': 0.0, 'compound': -0.3595}"
Sokka,Aang,"{'neg': 0.319, 'neu': 0.681, 'pos': 0.0, 'compound': -0.5067}"
Katara,Katara,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.6808}"
Sokka,Gyatso,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.6996}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.8741}"
Iroh,Zuko,"{'neg': 0.137, 'neu': 0.664, 'pos': 0.199, 'compound': 0.3182}"
Iroh,Zuko,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.4559}"
Iroh,Zuko,"{'neg': 0.091, 'neu': 0.753, 'pos': 0.156, 'compound': 0.7902}"
Katara,Aang,"{'neg': 0.067, 'neu': 0.902, 'pos': 0.03, 'compound': -0.4898}"
Sokka,Katara,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.6486}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}"
Aang,Sokka,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7177}"
Aang,Momo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Zuko,Aang,"{'neg': 0.113, 'neu': 0.769, 'pos': 0.118, 'compound': 0.0258}"
Iroh,Zuko,"{'neg': 0.072, 'neu': 0.811, 'pos': 0.117, 'compound': 0.1682}"
Zuko,Iroh,"{'neg': 0.038, 'neu': 0.761, 'pos': 0.201, 'compound': 0.8402}"
Iroh,Zuko,"{'neg': 0.184, 'neu': 0.742, 'pos': 0.074, 'compound': -0.4215}"
Iroh,Aang,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.1406}"
Sokka,Aang,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
Aang,Aang,"{'neg': 0.043, 'neu': 0.864, 'pos': 0.093, 'compound': 0.3382}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.8074}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.807}"
Sokka,Aang,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.5106}"
Katara,Katara,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.6597}"
Sokka,Katara,"{'neg': 0.155, 'neu': 0.666, 'pos': 0.18, 'compound': 0.3612}"
Sokka,Katara,"{'neg': 0.099, 'neu': 0.74, 'pos': 0.161, 'compound': -0.2444}"
Aang,Aang,"{'neg': 0.071, 'neu': 0.709, 'pos': 0.22, 'compound': 0.6597}"
Katara,Aang,"{'neg': 0.051, 'neu': 0.872, 'pos': 0.077, 'compound': 0.2732}"
Aang,Appa,"{'neg': 0.202, 'neu': 0.628, 'pos': 0.17, 'compound': -0.3818}"
Aang,Appa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4003}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.8908}"
Katara,Katara,"{'neg': 0.175, 'neu': 0.5, 'pos': 0.325, 'compound': 0.4199}"
Sokka,Aang,"{'neg': 0.121, 'neu': 0.808, 'pos': 0.071, 'compound': -0.25}"
Katara,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Aang,"{'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.4574}"
Sokka,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Sokka,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.2244}"
Sokka,Aang,"{'neg': 0.049, 'neu': 0.911, 'pos': 0.04, 'compound': -0.1027}"
Suki,Sokka,"{'neg': 0.141, 'neu': 0.754, 'pos': 0.106, 'compound': -0.1779}"
Katara,Sokka,"{'neg': 0.162, 'neu': 0.789, 'pos': 0.05, 'compound': -0.6433}"
Aang,Aang,"{'neg': 0.186, 'neu': 0.765, 'pos': 0.048, 'compound': -0.6597}"
Oyaji,Kyoshi,"{'neg': 0.253, 'neu': 0.747, 'pos': 0.0, 'compound': -0.8883}"
Aang,Aang,"{'neg': 0.093, 'neu': 0.756, 'pos': 0.151, 'compound': 0.3164}"
Oyaji,Kyoshi,"{'neg': 0.1, 'neu': 0.842, 'pos': 0.057, 'compound': -0.5499}"
Aang,Aang,"{'neg': 0.049, 'neu': 0.867, 'pos': 0.084, 'compound': 0.128}"
Suki,Aang,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.631}"
Aang,Aang,"{'neg': 0.082, 'neu': 0.662, 'pos': 0.257, 'compound': 0.6696}"
Oyaji,Aang,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.636}"
Katara,Aang,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}"
Oyaji,Aang,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4753}"
Aang,Aang,"{'neg': 0.082, 'neu': 0.861, 'pos': 0.057, 'compound': 0.126}"
Zuko,Zuko,"{'neg': 0.082, 'neu': 0.866, 'pos': 0.052, 'compound': -0.128}"
Aang,Momo,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.5972}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.6476}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5255}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.5267}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.2124}"
Katara,Aang,"{'neg': 0.23, 'neu': 0.688, 'pos': 0.083, 'compound': -0.4951}"
Sokka,Aang,"{'neg': 0.069, 'neu': 0.905, 'pos': 0.026, 'compound': -0.5964}"
Aang,Katara,"{'neg': 0.019, 'neu': 0.792, 'pos': 0.188, 'compound': 0.9184}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.8481}"
Aang,Than,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6808}"
Sokka,Sokka,"{'neg': 0.086, 'neu': 0.878, 'pos': 0.036, 'compound': -0.1935}"
